"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 13, 2021","149.55","150.63","151.42","148.75","97.79M","0.39%"
"Sep 10, 2021","148.97","155.00","155.48","148.70","140.89M","-3.31%"
"Sep 09, 2021","154.07","155.49","156.11","153.95","56.21M","-0.67%"
"Sep 08, 2021","155.11","156.98","157.04","153.98","74.10M","-1.01%"
"Sep 07, 2021","156.69","154.97","157.26","154.39","81.67M","1.55%"
"Sep 03, 2021","154.30","153.76","154.63","153.09","57.87M","0.42%"
"Sep 02, 2021","153.65","153.87","154.72","152.40","70.91M","0.75%"
"Sep 01, 2021","152.51","152.83","154.98","152.34","80.31M","0.45%"
"Aug 31, 2021","151.83","152.66","152.80","151.29","86.19M","-0.84%"
"Aug 30, 2021","153.12","149.00","153.49","148.61","90.24M","3.04%"
"Aug 27, 2021","148.60","147.48","148.75","146.83","55.80M","0.72%"
"Aug 26, 2021","147.54","148.35","149.12","147.51","48.24M","-0.55%"
"Aug 25, 2021","148.36","149.81","150.32","147.80","58.87M","-0.84%"
"Aug 24, 2021","149.62","149.45","150.86","149.15","48.48M","-0.06%"
"Aug 23, 2021","149.71","148.31","150.19","147.89","59.08M","1.03%"
"Aug 20, 2021","148.19","147.44","148.50","146.78","60.55M","1.02%"
"Aug 19, 2021","146.70","145.03","148.00","144.50","85.92M","0.23%"
"Aug 18, 2021","146.36","149.80","150.72","146.15","84.52M","-2.55%"
"Aug 17, 2021","150.19","150.23","151.68","149.09","91.71M","-0.62%"
"Aug 16, 2021","151.12","148.54","151.19","146.47","101.07M","1.35%"
"Aug 13, 2021","149.10","148.97","149.44","148.27","59.38M","0.14%"
"Aug 12, 2021","148.89","146.19","149.05","145.84","72.27M","2.08%"
"Aug 11, 2021","145.86","146.05","146.72","145.53","48.36M","0.18%"
"Aug 10, 2021","145.60","146.49","147.70","145.31","69.02M","-0.34%"
"Aug 09, 2021","146.09","146.23","146.67","145.53","48.91M","-0.03%"
"Aug 06, 2021","146.14","146.35","147.11","145.63","54.13M","-0.63%"
"Aug 05, 2021","147.06","146.90","147.84","146.23","46.40M","0.07%"
"Aug 04, 2021","146.95","147.18","147.77","146.28","56.37M","-0.28%"
"Aug 03, 2021","147.36","145.81","148.02","145.19","64.79M","1.26%"
"Aug 02, 2021","145.52","146.48","146.92","145.29","62.88M","-0.23%"
